Item,Quantity,Description
Sign: SIGN POST P2 REQ'D,1,SIGN POST P2 REQ'D
Sign: sign/18486_SM-01,1,sign/18486_SM-01
Sign: sign/18486_RDDT-02 Rotomilling...,1,sign/18486_RDDT-02 Rotomilling Detail
Sign: sign/18486_RDDT-05 Barrier Det...,1,sign/18486_RDDT-05 Barrier Detail.dgn
Sign: SIGN CODE LEGEND:,1,SIGN CODE LEGEND:
Sign: SIGN CODE,1,SIGN CODE
Sign: SIGN BASE (B3) REQ'D,1,SIGN BASE (B3) REQ'D
Sign: SIGN LESS THAN 20,1,SIGN LESS THAN 20
Sign: sign/18486_SM-02,1,sign/18486_SM-02
Sign: SIGN SCHEDULE,1,SIGN SCHEDULE
Sign: sign/18486_TitleSheet.dgn,1,sign/18486_TitleSheet.dgn
Sign: SIGN DESCRIPTION,1,SIGN DESCRIPTION
Sign: sign/18486_RDDT-01 Soft Spot R...,1,sign/18486_RDDT-01 Soft Spot Repair
Sign: sign/18486_SSDT-04 Sign Detail...,1,sign/18486_SSDT-04 Sign Detail Sheet 4.dgn
Sign: SIGN TUBULAR STEEL,1,SIGN TUBULAR STEEL
Sign: SIGN MOUNTING AND HARDWARE REQ...,1,SIGN MOUNTING AND HARDWARE REQUIREMENTS.
Sign: SIGNING & STIPING DETAILS,1,SIGNING & STIPING DETAILS
Sign: SIGNING & STRIPING DETAILS,1,SIGNING & STRIPING DETAILS
Sign: Sign Conventional;,1,Sign Conventional;
Sign: SIGN BASE (B3),1,SIGN BASE (B3)
Sign: SIGN TYPE A-1 REQ'D,1,SIGN TYPE A-1 REQ'D
Sign: SIGN ENGINEER,1,SIGN ENGINEER
Sign: sign/18486_TS-01.dgn,1,sign/18486_TS-01.dgn
Sign: SIGN NUMBER,1,SIGN NUMBER
Sign: SIGNING KEY,1,SIGNING KEY
Sign: Sign Conventional (MOD);,1,Sign Conventional (MOD);
Sign: SIGN COLOR,1,SIGN COLOR
Sign: SIGN POST P4,1,SIGN POST P4
Sign: sign/18486_SSDT-05 Sign Detail...,1,sign/18486_SSDT-05 Sign Detail Sheet 5.dgn
Sign: sign/18486_SSDT-03 Sign Detail...,1,sign/18486_SSDT-03 Sign Detail Sheet 3.dgn
Sign: SIGN PANEL DIMENSIONS.,1,SIGN PANEL DIMENSIONS.
Sign: SIGN SPEED 45 MPH,1,SIGN SPEED 45 MPH
Sign: SIGNATURE,1,SIGNATURE
Sign: sign/18486_SSDT-07 Sign Detail...,1,sign/18486_SSDT-07 Sign Detail Sheet 7.dgn
Sign: SIGN POST P2,1,SIGN POST P2
Sign: SIGN POST P3,1,SIGN POST P3
Sign: SIGN POST P3 REQ'D,1,SIGN POST P3 REQ'D
Sign: sign/18486_SSDT-02 Sign Detail...,1,sign/18486_SSDT-02 Sign Detail Sheet 2.dgn
Sign: signed by Tristan Pedersen,1,signed by Tristan Pedersen
